modo_envio,segmento,pais,cidade,estado,cep,regiao,categoria,subcategoria,vendas,quantidade,desconto,lucro,margem
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Móveis,Estantes,261.96,2,0.0,41.9136,0.16000000000000003
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Móveis,Cadeiras,731.94,3,0.0,219.582,0.3
Second Class,Corporate,United States,Los Angeles,California,90036,West,Material de Escritório,Etiquetas,14.62,2,0.0,6.8714,0.47000000000000003
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Móveis,Mesas,957.5775,5,0.45,-383.031,-0.4
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Material de Escritório,Armazenamento,22.368,2,0.2,2.5164,0.1125
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Móveis,Decoração,48.86,7,0.0,14.1694,0.29
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Material de Escritório,Arte,7.28,4,0.0,1.9656,0.27
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Tecnologia,Celulares,907.152,6,0.2,90.7152,0.09999999999999999
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Material de Escritório,Fichários,18.504,3,0.2,5.7825,0.31249999999999994
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Material de Escritório,Eletrodomésticos,114.9,5,0.0,34.47,0.3
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Móveis,Mesas,1706.184,9,0.2,85.3092,0.05
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Tecnologia,Celulares,911.424,4,0.2,68.3568,0.07500000000000001
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Material de Escritório,Papel,15.552,3,0.2,5.4432,0.35000000000000003
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Material de Escritório,Fichários,407.976,3,0.2,132.5922,0.32499999999999996
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Material de Escritório,Eletrodomésticos,68.81,5,0.8,-123.858,-1.8
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Material de Escritório,Fichários,2.544,3,0.8,-3.816,-1.5
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Material de Escritório,Armazenamento,665.88,6,0.0,13.3176,0.02
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Material de Escritório,Armazenamento,55.5,2,0.0,9.99,0.18
Second Class,Consumer,United States,San Francisco,California,94109,West,Material de Escritório,Arte,8.56,2,0.0,2.4824,0.29
Second Class,Consumer,United States,San Francisco,California,94109,West,Tecnologia,Celulares,213.48,3,0.2,16.011,0.075
Second Class,Consumer,United States,San Francisco,California,94109,West,Material de Escritório,Fichários,22.72,4,0.2,7.384,0.325
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Material de Escritório,Arte,19.46,7,0.0,5.0596,0.25999999999999995
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Material de Escritório,Eletrodomésticos,60.34,7,0.0,15.6884,0.25999999999999995
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Móveis,Cadeiras,71.372,2,0.3,-1.0196,-0.014285714285714287
Standard Class,Consumer,United States,Orem,Utah,84057,West,Móveis,Mesas,1044.63,3,0.0,240.2649,0.22999999999999998
Second Class,Consumer,United States,Los Angeles,California,90049,West,Material de Escritório,Fichários,11.648,2,0.2,4.2224,0.36250000000000004
Second Class,Consumer,United States,Los Angeles,California,90049,West,Tecnologia,Acessórios,90.57,3,0.0,11.7741,0.13
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Móveis,Estantes,3083.43,7,0.5,-1665.0522,-0.54
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Material de Escritório,Fichários,9.618,2,0.7,-7.0532,-0.7333333333333334
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Móveis,Decoração,124.2,3,0.2,15.525,0.125
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Material de Escritório,Envelopes,3.264,2,0.2,1.1016,0.3375
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Material de Escritório,Arte,86.304,6,0.2,9.7092,0.11249999999999999
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Material de Escritório,Fichários,6.858,6,0.7,-5.715,-0.8333333333333334
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Material de Escritório,Arte,15.76,2,0.2,3.546,0.22499999999999998
Second Class,Home Office,United States,Houston,Texas,77095,Central,Material de Escritório,Papel,29.472,3,0.2,9.9468,0.33749999999999997
First Class,Corporate,United States,Richardson,Texas,75080,Central,Tecnologia,Celulares,1097.544,7,0.2,123.4737,0.11249999999999999
First Class,Corporate,United States,Richardson,Texas,75080,Central,Móveis,Decoração,190.92,5,0.6,-147.963,-0.775
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Material de Escritório,Envelopes,113.328,9,0.2,35.415,0.3125
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Móveis,Estantes,532.3992,3,0.32,-46.9764,-0.08823529411764706
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Móveis,Cadeiras,212.058,3,0.3,-15.147,-0.07142857142857144
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Tecnologia,Celulares,371.168,4,0.2,41.7564,0.1125
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Tecnologia,Celulares,147.168,4,0.2,16.5564,0.11249999999999999
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Material de Escritório,Armazenamento,77.88,2,0.0,3.894,0.05
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Material de Escritório,Armazenamento,95.616,2,0.2,9.5616,0.1
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Tecnologia,Acessórios,45.98,2,0.0,19.7714,0.43000000000000005
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Material de Escritório,Fichários,17.46,2,0.0,8.2062,0.47000000000000003
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Material de Escritório,Armazenamento,211.96,4,0.0,8.4784,0.04
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Tecnologia,Acessórios,45.0,3,0.0,4.95,0.11
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Tecnologia,Celulares,21.8,2,0.0,6.104,0.27999999999999997
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Material de Escritório,Fichários,38.22,6,0.0,17.9634,0.47000000000000003
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Material de Escritório,Etiquetas,75.18,6,0.0,35.3346,0.47
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Móveis,Decoração,6.16,2,0.0,2.9568,0.48
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Móveis,Cadeiras,89.99,1,0.0,17.0981,0.19
Standard Class,Corporate,United States,New York City,New York,10024,East,Material de Escritório,Fixadores,15.26,7,0.0,6.2566,0.41
Standard Class,Corporate,United States,New York City,New York,10024,East,Tecnologia,Celulares,1029.95,5,0.0,298.6855,0.29
First Class,Consumer,United States,Troy,New York,12180,East,Material de Escritório,Armazenamento,208.56,6,0.0,52.14,0.25
First Class,Consumer,United States,Troy,New York,12180,East,Material de Escritório,Papel,32.4,5,0.0,15.552,0.48
First Class,Consumer,United States,Troy,New York,12180,East,Móveis,Cadeiras,319.41,5,0.1,7.098,0.02222222222222222
First Class,Consumer,United States,Troy,New York,12180,East,Material de Escritório,Papel,14.56,2,0.0,6.9888,0.48
First Class,Consumer,United States,Troy,New York,12180,East,Tecnologia,Acessórios,30.0,2,0.0,3.3,0.11
First Class,Consumer,United States,Troy,New York,12180,East,Material de Escritório,Fichários,48.48,4,0.2,16.362,0.33749999999999997
First Class,Consumer,United States,Troy,New York,12180,East,Material de Escritório,Arte,1.68,1,0.0,0.84,0.5
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Tecnologia,Acessórios,13.98,2,0.0,6.1512,0.44
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Material de Escritório,Fichários,25.824,6,0.2,9.3612,0.3625
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Material de Escritório,Papel,146.73,3,0.0,68.9631,0.47000000000000003
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Móveis,Decoração,79.76,4,0.0,22.3328,0.27999999999999997
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Móveis,Cadeiras,213.115,5,0.3,-15.2225,-0.07142857142857142
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Material de Escritório,Arte,1113.024,8,0.2,111.3024,0.10000000000000002
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Tecnologia,Celulares,167.968,4,0.2,62.988,0.375
First Class,Consumer,United States,Springfield,Virginia,22153,South,Material de Escritório,Papel,75.88,2,0.0,35.6636,0.4700000000000001
Standard Class,Consumer,United States,New York City,New York,10009,East,Material de Escritório,Fichários,4.616,1,0.2,1.731,0.37500000000000006
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Material de Escritório,Papel,19.05,3,0.0,8.763,0.45999999999999996
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Móveis,Cadeiras,831.936,8,0.2,-114.3912,-0.13749999999999998
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Móveis,Decoração,97.04,2,0.2,1.213,0.0125
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Material de Escritório,Armazenamento,72.784,1,0.2,-18.196,-0.25
First Class,Corporate,United States,Houston,Texas,77041,Central,Material de Escritório,Fichários,1.248,3,0.8,-1.9344,-1.5499999999999998
First Class,Corporate,United States,Houston,Texas,77041,Central,Móveis,Decoração,9.708,3,0.6,-5.8248,-0.6
First Class,Corporate,United States,Houston,Texas,77041,Central,Material de Escritório,Armazenamento,27.24,3,0.2,2.724,0.10000000000000002
Second Class,Consumer,United States,Houston,Texas,77070,Central,Móveis,Decoração,19.3,5,0.6,-14.475,-0.75
First Class,Corporate,United States,Decatur,Alabama,35601,South,Material de Escritório,Eletrodomésticos,208.16,1,0.0,56.2032,0.27
First Class,Corporate,United States,Decatur,Alabama,35601,South,Material de Escritório,Fichários,16.74,3,0.0,8.0352,0.48000000000000004
Standard Class,Consumer,United States,San Francisco,California,94122,West,Material de Escritório,Arte,14.9,5,0.0,4.172,0.27999999999999997
Standard Class,Consumer,United States,San Francisco,California,94122,West,Material de Escritório,Armazenamento,21.39,1,0.0,6.2031,0.29
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Material de Escritório,Envelopes,200.984,7,0.2,62.8075,0.3125
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Material de Escritório,Armazenamento,230.376,3,0.2,-48.9549,-0.2125
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Móveis,Cadeiras,301.96,2,0.0,33.2156,0.11000000000000001
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Tecnologia,Acessórios,19.99,1,0.0,6.7966,0.34
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Material de Escritório,Etiquetas,6.16,2,0.0,2.9568,0.48
Second Class,Home Office,United States,Houston,Texas,77095,Central,Material de Escritório,Armazenamento,158.368,7,0.2,13.8572,0.08750000000000001
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Material de Escritório,Arte,20.1,3,0.0,6.633,0.32999999999999996
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Tecnologia,Celulares,73.584,2,0.2,8.2782,0.11249999999999999
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Material de Escritório,Papel,6.48,1,0.0,3.1104,0.4799999999999999
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Material de Escritório,Papel,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Móveis,Decoração,53.34,3,0.0,16.5354,0.30999999999999994
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Material de Escritório,Fichários,32.96,2,0.0,16.1504,0.49000000000000005
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Material de Escritório,Fichários,5.682,1,0.7,-3.788,-0.6666666666666666
Second Class,Home Office,United States,New York City,New York,10009,East,Móveis,Decoração,96.53,7,0.0,40.5426,0.42
First Class,Consumer,United States,San Francisco,California,94122,West,Material de Escritório,Fichários,51.312,3,0.2,17.9592,0.35
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Material de Escritório,Eletrodomésticos,77.88,6,0.0,22.5852,0.29000000000000004
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Material de Escritório,Papel,64.624,7,0.2,22.6184,0.35000000000000003
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Tecnologia,Acessórios,95.976,3,0.2,-10.7973,-0.1125
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Material de Escritório,Fichários,1.788,3,0.8,-3.0396,-1.7
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Material de Escritório,Papel,23.92,4,0.0,11.7208,0.49
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Tecnologia,Acessórios,238.896,6,0.2,-26.8758,-0.11250000000000002
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Móveis,Decoração,102.36,3,0.2,-3.8385,-0.0375
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Material de Escritório,Fichários,36.882,3,0.7,-25.8174,-0.7000000000000001
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Tecnologia,Acessórios,74.112,8,0.2,17.6016,0.23750000000000004
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Tecnologia,Celulares,27.992,1,0.2,2.0994,0.075
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Material de Escritório,Arte,3.304,1,0.2,1.0738,0.32500000000000007
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Tecnologia,Acessórios,339.96,5,0.2,67.992,0.20000000000000004
Standard Class,Corporate,United States,New York City,New York,10035,East,Móveis,Decoração,41.96,2,0.0,10.9096,0.25999999999999995
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Material de Escritório,Arte,75.96,2,0.0,22.788,0.30000000000000004
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Material de Escritório,Fichários,27.24,6,0.0,13.3476,0.49000000000000005
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Material de Escritório,Fixadores,40.096,14,0.2,14.5348,0.36250000000000004
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Material de Escritório,Envelopes,4.72,2,0.2,1.652,0.35
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Material de Escritório,Papel,23.976,3,0.2,7.4925,0.3125
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Material de Escritório,Envelopes,130.464,6,0.2,44.0316,0.33749999999999997
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Móveis,Mesas,787.53,3,0.0,165.3813,0.21000000000000002
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Material de Escritório,Fichários,157.794,1,0.7,-115.7156,-0.7333333333333333
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Móveis,Decoração,47.04,3,0.0,18.3456,0.39
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Material de Escritório,Fichários,30.84,4,0.0,13.878,0.45
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Material de Escritório,Armazenamento,226.56,6,0.0,63.4368,0.27999999999999997
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Material de Escritório,Envelopes,115.02,9,0.0,51.759,0.45
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Tecnologia,Celulares,68.04,7,0.0,19.7316,0.29
Second Class,Home Office,United States,Houston,Texas,77041,Central,Móveis,Cadeiras,600.558,3,0.3,-8.5794,-0.014285714285714285
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Móveis,Mesas,617.7,6,0.5,-407.682,-0.66
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Material de Escritório,Fichários,2.388,2,0.7,-1.8308,-0.7666666666666667
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Material de Escritório,Armazenamento,243.992,7,0.2,30.499,0.125
Second Class,Home Office,United States,Los Angeles,California,90004,West,Móveis,Cadeiras,81.424,2,0.2,-9.1602,-0.11249999999999999
Second Class,Home Office,United States,Los Angeles,California,90004,West,Móveis,Decoração,238.56,3,0.0,26.2416,0.10999999999999999
First Class,Corporate,United States,Columbus,Ohio,43229,East,Tecnologia,Celulares,59.97,5,0.4,-11.994,-0.2
First Class,Corporate,United States,Columbus,Ohio,43229,East,Material de Escritório,Papel,78.304,2,0.2,29.364,0.375
First Class,Corporate,United States,Columbus,Ohio,43229,East,Material de Escritório,Fixadores,21.456,9,0.2,6.9732,0.325
Standard Class,Consumer,United States,Roseville,California,95661,West,Material de Escritório,Papel,20.04,3,0.0,9.6192,0.48
